name,year,rate,code
Bremer,2013,44,19017
Dallas,2013,104,19049
Dubuque,2013,198,19061
Grundy,2013,56,19075
Guthrie,2013,35,19077
Johnson,2013,225,19103
Linn,2013,267,19113
Madison,2013,39,19121
Mills,2013,150,19129
Plymouth,2013,56,19149
Polk,2013,704,19153
Pottawattamie,2013,425,19155
Scott,2013,161,19163
Story,2013,146,19169
Warren,2013,208,19181
Washington,2013,81,19183
Woodbury,2013,138,19193
Adair,2013,47,19001
Adams,2013,19,19003
Allamakee,2013,25,19005
Appanoose,2013,109,19007
Buena Vista,2013,46,19021
Butler,2013,13,19023
Calhoun,2013,55,19025
Cass,2013,73,19029
Cedar,2013,124,19031
Cerro Gordo,2013,112,19033
Cherokee,2013,31,19035
Chickasaw,2013,29,19037
Clarke,2013,55,19039
Clay,2013,35,19041
Clayton,2013,58,19043
Clinton,2013,104,19045
Davis,2013,10,19051
Delaware,2013,27,19055
Des Moines,2013,156,19057
Dickinson,2013,31,19059
Emmet,2013,42,19063
Fayette,2013,54,19065
Floyd,2013,34,19067
Greene,2013,0,19073
Hamilton,2013,67,19079
Hancock,2013,25,19081
Hardin,2013,87,19083
Henry,2013,84,19087
Howard,2013,45,19089
Humboldt,2013,71,19091
Ida,2013,48,19093
Iowa,2013,94,19095
Jasper,2013,186,19099
Jefferson,2013,48,19101
Keokuk,2013,33,19107
Kossuth,2013,33,19109
Lee,2013,99,19111
Louisa,2013,57,19115
Lucas,2013,116,19117
Marion,2013,104,19125
Marshall,2013,88,19127
Mitchell,2013,19,19131
Monona,2013,77,19133
Monroe,2013,59,19135
Muscatine,2013,68,19139
O'Brien,2013,81,19141
Osceola,2013,5,19143
Page,2013,47,19145
Palo Alto,2013,75,19147
Pocahontas,2013,47,19151
Poweshiek,2013,23,19157
Ringgold,2013,41,19159
Sac,2013,81,19161
Sioux,2013,73,19167
Tama,2013,96,19171
Taylor,2013,22,19173
Union,2013,35,19175
Van Buren,2013,63,19177
Wapello,2013,228,19179
Wayne,2013,18,19185
Webster,2013,190,19187
Winnebago,2013,1,19189
Winneshiek,2013,13,19191
Worth,2013,84,19195
Wright,2013,15,19197
Black Hawk,2014,141,19013
Bremer,2014,26,19017
Dallas,2014,129,19049
Dubuque,2014,171,19061
Grundy,2014,74,19075
Johnson,2014,177,19103
Linn,2014,291,19113
Madison,2014,56,19121
Mills,2014,143,19129
Plymouth,2014,52,19149
Polk,2014,695,19153
Pottawattamie,2014,458,19155
Scott,2014,113,19163
Story,2014,168,19169
Warren,2014,199,19181
Washington,2014,68,19183
Woodbury,2014,146,19193
Adair,2014,53,19001
Adams,2014,36,19003
Appanoose,2014,105,19007
Boone,2014,62,19015
Buena Vista,2014,43,19021
Calhoun,2014,70,19025
Cass,2014,76,19029
Cedar,2014,87,19031
Cerro Gordo,2014,102,19033
Cherokee,2014,25,19035
Clarke,2014,59,19039
Clay,2014,35,19041
Clayton,2014,34,19043
Clinton,2014,127,19045
Davis,2014,5,19051
Delaware,2014,77,19055
Des Moines,2014,170,19057
Dickinson,2014,25,19059
Emmet,2014,48,19063
Fayette,2014,58,19065
Floyd,2014,15,19067
Greene,2014,0,19073
