name,rate,year,code
Adair,13.01744337,2013,19001
Adams,148.9203276,2013,19003
Allamakee,34.89183531,2013,19005
Appanoose,108.6366105,2013,19007
Bremer,20.59647388,2013,19017
Buena Vista,49.35834156,2013,19021
Butler,20.17891976,2013,19023
Calhoun,62.0475698,2013,19025
Cass,42.99226139,2013,19029
Cedar,32.43418563,2013,19031
Cerro Gordo,6.794863084,2013,19033
Cherokee,24.85089463,2013,19035
Chickasaw,24.11769435,2013,19037
Clarke,64.61339651,2013,19039
Clay,41.99916002,2013,19041
Clayton,71.70831265,2013,19043
Clinton,30.53994625,2013,19045
Dallas,25.70499735,2013,19049
Davis,45.69861762,2013,19051
Delaware,28.14681378,2013,19055
Des Moines,39.67761934,2013,19057
Dickinson,59.99880002,2013,19059
Dubuque,11.745486,2013,19061
Emmet,67.94797127,2013,19063
Fayette,33.52490421,2013,19065
Floyd,24.53536159,2013,19067
Greene,0,2013,19073
Grundy,80.30193528,2013,19075
Guthrie,36.51634106,2013,19077
Hamilton,108.46679,2013,19079
Hancock,26.45269377,2013,19081
Hardin,45.62564161,2013,19083
Henry,129.0642839,2013,19087
Howard,73.17583107,2013,19089
Humboldt,61.13092206,2013,19091
Ida,56.42544788,2013,19093
Iowa,61.14338123,2013,19095
Jasper,43.42869551,2013,19099
Jefferson,0,2013,19101
Johnson,51.95519628,2013,19103
Keokuk,95.13842641,2013,19107
Kossuth,19.30129319,2013,19109
Lee,33.46160281,2013,19111
Linn,8.521678202,2013,19113
Louisa,52.69166593,2013,19115
Lucas,33.71544167,2013,19117
Madison,89.29140889,2013,19121
Marion,108.0788976,2013,19125
Marshall,17.22101948,2013,19127
Mills,225.7786042,2013,19129
Mitchell,0,2013,19131
Monona,129.8279779,2013,19133
Monroe,50.18820577,2013,19135
Muscatine,42.11018833,2013,19139
O'Brien,83.34490902,2013,19141
Osceola,0,2013,19143
Page,50.21340698,2013,19145
Palo Alto,148.6041821,2013,19147
Plymouth,64.03586008,2013,19149
Pocahontas,41.03967168,2013,19151
Polk,15.09381386,2013,19153
Pottawattamie,74.06771292,2013,19155
Poweshiek,31.72253357,2013,19157
Ringgold,0,2013,19159
Sac,106.2801932,2013,19161
Scott,24.81479688,2013,19163
Sioux,17.8020413,2013,19167
Story,24.56947578,2013,19169
Tama,202.6228401,2013,19171
Taylor,0,2013,19173
Union,15.95659805,2013,19175
Van Buren,158.5204756,2013,19177
Wapello,25.26315789,2013,19179
Warren,131.9632234,2013,19181
Washington,129.0084777,2013,19183
Wayne,31.23535843,2013,19185
Webster,55.24425854,2013,19187
Winnebago,0,2013,19189
Winneshiek,0,2013,19191
Woodbury,20.55357632,2013,19193
Worth,105.290866,2013,19195
Wright,15.1183007,2013,19197
Adair,65.08721687,2014,19001
Adams,99.28021842,2014,19003
Appanoose,85.35733685,2014,19007
Black Hawk,12.96818979,2014,19013
Boone,53.21979776,2014,19015
Bremer,28.83506344,2014,19017
Buena Vista,49.35834156,2014,19021
Calhoun,41.36504654,2014,19025
Cass,78.81914589,2014,19029
Cedar,48.65127845,2014,19031
Cerro Gordo,15.85468053,2014,19033
Cherokee,16.56726309,2014,19035
Clarke,43.07559767,2014,19039
Clay,53.99892002,2014,19041
Clayton,77.2243367,2014,19043
Clinton,42.75592475,2014,19045
Dallas,30.24117336,2014,19049
Davis,45.69861762,2014,19051
Delaware,78.81107859,2014,19055
Des Moines,44.63732176,2014,19057
Dickinson,35.99928001,2014,19059
Dubuque,21.35542908,2014,19061
Emmet,165.0165017,2014,19063
Fayette,114.9425287,2014,19065
Floyd,61.33840397,2014,19067
Greene,0,2014,19073
Grundy,72.27174175,2014,19075
Hamilton,76.56479296,2014,19079
Hancock,79.3580813,2014,19081
Hardin,45.62564161,2014,19083
Henry,218.4164805,2014,19087
Howard,62.72214092,2014,19089
Humboldt,20.37697402,2014,19091
Ida,169.2763436,2014,19093
Iowa,67.25771935,2014,19095
Jasper,78.71451061,2014,19099
Jefferson,5.937184587,2014,19101
Johnson,45.84282025,2014,19103
Keokuk,114.1661117,2014,19107
Kossuth,64.33764396,2014,19109
Lee,75.28860632,2014,19111
Linn,19.41048924,2014,19113
Louisa,105.3833319,2014,19115
Lucas,56.19240279,2014,19117
Lyon,112.2528279,2014,19119
Madison,44.64570445,2014,19121
Mahaska,44.680756,2014,19123
Marion,147.1073884,2014,19125
Marshall,36.90218461,2014,19127
Mills,99.60820772,2014,19129
Monona,10.81899816,2014,19133
Monroe,37.64115433,2014,19135
Muscatine,49.12855305,2014,19139
O'Brien,138.9081817,2014,19141
Osceola,46.42525534,2014,19143
Plymouth,64.03586008,2014,19149
Pocahontas,82.07934337,2014,19151
Polk,19.9702768,2014,19153
Pottawattamie,85.87560918,2014,19155
Poweshiek,52.87088929,2014,19157
Ringgold,77.95751316,2014,19159
Sac,19.3236715,2014,19161
Scott,50.84007166,2014,19163
Sioux,20.76904818,2014,19167
Story,24.56947578,2014,19169
Tama,242.0217257,2014,19171
Taylor,31.66059839,2014,19173
Union,7.978299027,2014,19175
Van Buren,132.1003963,2014,19177
Wapello,67.36842105,2014,19179
Warren,90.85992428,2014,19181
Washington,119.7935864,2014,19183
Wayne,140.5591129,2014,19185
Webster,36.8295057,2014,19187
Winneshiek,4.749240122,2014,19191
Woodbury,22.51105978,2014,19193
Worth,131.6135825,2014,19195
Wright,15.1183007,2014,19197
Adair,91.12210362,2015,19001
Adams,198.5604368,2015,19003
Appanoose,46.55854737,2015,19007
Audubon,65.37015852,2015,19009
Black Hawk,20.59653673,2015,19013
Boone,26.60989888,2015,19015
Buchanan,38.17158126,2015,19019
Buena Vista,49.35834156,2015,19021
Butler,0,2015,19023
Calhoun,72.38883144,2015,19025
Cass,71.65376899,2015,19029
Cedar,37.83988324,2015,19031
Cerro Gordo,13.58972617,2015,19033
Cherokee,49.70178926,2015,19035
Clarke,64.61339651,2015,19039
Clay,59.99880002,2015,19041
Clayton,71.70831265,2015,19043
Dallas,49.89793604,2015,19049
Delaware,67.55235307,2015,19055
Des Moines,37.19776813,2015,19057
Dubuque,7.474400179,2015,19061
