name,rate,year,code
Adair,611.8198386,2013,19001
Adams,471.5810375,2013,19003
Allamakee,174.4591766,2013,19005
Appanoose,845.8136106,2013,19007
Bremer,181.2489702,2013,19017
Buena Vista,227.0483712,2013,19021
Butler,87.44198561,2013,19023
Calhoun,568.7693899,2013,19025
Cass,523.0725136,2013,19029
Cedar,670.3065031,2013,19031
Cerro Gordo,253.6748885,2013,19033
Cherokee,256.7925779,2013,19035
Chickasaw,233.137712,2013,19037
Clarke,592.289468,2013,19039
Clay,209.9958001,2013,19041
Clayton,319.9293949,2013,19043
Clinton,211.7436273,2013,19045
Dallas,157.2541015,2013,19049
Davis,114.246544,2013,19051
Delaware,151.9927944,2013,19055
Des Moines,386.8567886,2013,19057
Dickinson,185.9962801,2013,19059
Dubuque,211.4187479,2013,19061
Emmet,407.6878276,2013,19063
Fayette,258.6206897,2013,19065
Floyd,208.5505735,2013,19067
Greene,0,2013,19073
Grundy,449.6908375,2013,19075
Guthrie,319.5179843,2013,19077
Hamilton,427.4867607,2013,19079
Hancock,220.4391147,2013,19081
Hardin,496.1788525,2013,19083
Henry,416.9769173,2013,19087
Howard,470.4160569,2013,19089
Humboldt,723.3825777,2013,19091
Ida,677.1053745,2013,19093
Iowa,574.7477836,2013,19095
Jasper,504.8585853,2013,19099
Jefferson,284.9848602,2013,19101
Johnson,171.9105759,2013,19103
Keokuk,313.9568072,2013,19107
Kossuth,212.3142251,2013,19109
Lee,276.0582232,2013,19111
Linn,126.4048933,2013,19113
Louisa,500.5708264,2013,19115
Lucas,1303.663745,2013,19117
Madison,248.7403533,2013,19121
Marion,312.2279264,2013,19125
Marshall,216.4928164,2013,19127
Mills,996.0820772,2013,19129
Mitchell,176.3177431,2013,19131
Monona,833.0628584,2013,19133
Monroe,740.2760351,2013,19135
Muscatine,159.0829337,2013,19139
O'Brien,562.5781359,2013,19141
Osceola,77.37542556,2013,19143
Page,295.003766,2013,19145
Palo Alto,796.0938329,2013,19147
Plymouth,224.1255103,2013,19149
Pocahontas,642.9548564,2013,19151
Polk,163.4776147,2013,19153
Pottawattamie,456.2141738,2013,19155
Poweshiek,121.6030454,2013,19157
Ringgold,799.0645098,2013,19159
Sac,782.6086957,2013,19161
Scott,97.44347068,2013,19163
Sioux,216.5915025,2013,19167
Story,163.0519756,2013,19169
Tama,540.3275736,2013,19171
Taylor,348.2665822,2013,19173
Union,279.2404659,2013,19175
Van Buren,832.2324967,2013,19177
Wapello,640,2013,19179
Warren,449.9729584,2013,19181
Washington,373.2030962,2013,19183
Wayne,281.1182258,2013,19185
Webster,499.8290059,2013,19187
Winnebago,9.20301859,2013,19189
Winneshiek,61.74012158,2013,19191
Woodbury,135.0663587,2013,19193
Worth,1105.554093,2013,19195
Wright,113.3872553,2013,19197
Adair,689.9244988,2014,19001
Adams,893.5219657,2014,19003
Appanoose,814.774579,2014,19007
Black Hawk,107.5596918,2014,19013
Boone,235.6876758,2014,19015
Bremer,107.1016642,2014,19017
Buena Vista,212.2408687,2014,19021
Calhoun,723.8883144,2014,19025
Cass,544.5686443,2014,19029
Cedar,470.2956917,2014,19031
Cerro Gordo,231.0253448,2014,19033
Cherokee,207.0907886,2014,19035
Clarke,635.3650657,2014,19039
Clay,209.9958001,2014,19041
Clayton,187.5448177,2014,19043
Clinton,258.5715449,2014,19045
Dallas,195.0555682,2014,19049
Davis,57.12327202,2014,19051
Delaware,433.4609322,2014,19055
Des Moines,421.5747055,2014,19057
Dickinson,149.9970001,2014,19059
Dubuque,182.5889187,2014,19061
Emmet,465.9289458,2014,19063
Fayette,277.7777778,2014,19065
Floyd,92.00760596,2014,19067
Greene,0,2014,19073
Grundy,594.234321,2014,19075
Hamilton,389.2043642,2014,19079
Hancock,238.0742439,2014,19081
Hardin,547.5076993,2014,19083
Henry,392.1568627,2014,19087
Howard,689.9435501,2014,19089
Humboldt,346.4085583,2014,19091
Ida,1156.721681,2014,19093
Iowa,403.5463161,2014,19095
Jasper,426.1440747,2014,19099
Jefferson,516.5350591,2014,19101
Johnson,135.2363197,2014,19103
Keokuk,390.0675483,2014,19107
Kossuth,205.8804607,2014,19109
Lee,276.0582232,2014,19111
Linn,137.7671309,2014,19113
Louisa,483.0069377,2014,19115
Lucas,606.8779501,2014,19117
Lyon,768.5001295,2014,19119
Madison,357.1656356,2014,19121
Mahaska,402.126804,2014,19123
Marion,363.2651836,2014,19125
Marshall,118.0869907,2014,19127
Mills,949.5982469,2014,19129
Monona,389.4839338,2014,19133
Monroe,363.8644918,2014,19135
Muscatine,205.8720318,2014,19139
O'Brien,500.0694541,2014,19141
Osceola,139.275766,2014,19143
Plymouth,208.1165453,2014,19149
Pocahontas,383.0369357,2014,19151
Polk,161.387702,2014,19153
Pottawattamie,491.6378626,2014,19155
Poweshiek,158.6126679,2014,19157
Ringgold,487.2344572,2014,19159
Sac,386.47343,2014,19161
Scott,68.39200116,2014,19163
Sioux,172.0863992,2014,19167
Story,187.6214514,2014,19169
Tama,422.1309169,2014,19171
Taylor,379.9271806,2014,19173
Union,295.197064,2014,19175
